# Datum / Zeit: (Anfang) 22.06.2017 11:43:59 (Ende)  22.06.2017 11:48:56
#
# Einstellungen: 
# Start:      AUX1 -0.190000 V 
# End1:       AUX1 0.600000 V 
# Step1:      AUX1 0.005000 V 
# Holdtime:   AUX1 1001.000000 ms (Wartezeit nach dem Einstellen; automatisch erhöhen)
#
# aktuell:    AUX2 0.000000 V 
# Start:      AUX2 0.000000 V 
# End1:       AUX2 0.000000 V 
# Step1:      AUX2 0.000000 V 
# Holdtime:   AUX2 5001.000000 ms (Abstand der Datenpunkte)
#
#
#
#
#
#
#
#
#
# AUX3: 0.000000 V
# AUX4: 0.000000 V
#
# B-Feld nicht abwarten; B-Feld nicht abschalten
#
# time constant: 0.100000 s
# sensitivity: 1V/µA
# dyn reserve: high reserve
# slope: 18 dB/oct
# sync filter: off
# line filter: off
#
# Input:  I (1E+6)
# ground: ground
# couple: AC
#
# Lock-In - automeasure: off
# ref. phase.:   0.00
# ref. source: intern
# osc. harm#: 1.000000
# osc. freq.: 433.000000
# osc. ampl.: 0.004000
# ref. trigger: sine
#
# Channel 1
# display: X
# ratio: none
# output: X
#
# Channel 2
# display: Y
# ratio: none
# output: Y
#
# off. & exp.
# X:  offset = 0.000000;  expand = none
# Y:  offset = 0.000000;  expand = none
# R:  offset = 0.000000;  expand = none
#
# Spannungsteilerfaktor Aux1:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux2:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux3:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux4:        Kein Teiler verwendet
#
# Spannungsteilerfaktor Osc. Ampl.:  100.000000
# Spannungsteilerfaktor Messeingang: 10.000000
#
# Korrektur von Aux1 (Aux1' = Aux1 + X*Aux2*(Teiler Aux1/Teiler Aux2) mit  X = 0; keine Korrektur
# Korrektur von Aux2 (Aux2' = Aux2 + X*Aux1*(Teiler Aux2/Teiler Aux1) mit  X = 0; keine Korrektur
#
#
#
#
#
#
#
# Bemerkungen: keine Bemerkungen
#
#
#
#
#
#
#
#
#
#               Aux1,                Aux2,               Re(I),               Im(I),               Aux1',               Aux2',              Re(I)',              Im(I)'
#                 U1,                  U2,               Re(I),               Im(I),           U1/Teiler,           U2/Teiler,      Re(I)/osc.Ampl,      Im(I)/osc.Ampl
         -6.00000E-2,          0.00000E+0,         2.64892E-10,        -1.13688E-12,         -6.00000E-2,          0.00000E+0,          6.62230E-5,         -2.84220E-7
         -5.50000E-2,          0.00000E+0,         2.68672E-10,        -9.09502E-13,         -5.50000E-2,          0.00000E+0,          6.71680E-5,         -2.27375E-7
         -5.00000E-2,          0.00000E+0,         2.73248E-10,         3.97906E-13,         -5.00000E-2,          0.00000E+0,          6.83120E-5,          9.94765E-8
         -4.50000E-2,          0.00000E+0,         2.78392E-10,         2.84219E-14,         -4.50000E-2,          0.00000E+0,          6.95980E-5,          7.10547E-9
         -4.00000E-2,          0.00000E+0,         2.82570E-10,        -1.22214E-12,         -4.00000E-2,          0.00000E+0,          7.06425E-5,         -3.05535E-7
         -3.50000E-2,          0.00000E+0,         2.88255E-10,        -2.84219E-13,         -3.50000E-2,          0.00000E+0,          7.20638E-5,         -7.10548E-8
         -3.00000E-2,          0.00000E+0,         2.99254E-10,        -5.40016E-13,         -3.00000E-2,          0.00000E+0,          7.48135E-5,         -1.35004E-7
         -2.50000E-2,          0.00000E+0,         3.08065E-10,        -3.97906E-13,         -2.50000E-2,          0.00000E+0,          7.70162E-5,         -9.94765E-8
         -2.00000E-2,          0.00000E+0,         3.07553E-10,         1.70531E-13,         -2.00000E-2,          0.00000E+0,          7.68883E-5,          4.26328E-8
         -1.50000E-2,          0.00000E+0,         3.22617E-10,        -5.68439E-14,         -1.50000E-2,          0.00000E+0,          8.06542E-5,         -1.42110E-8
         -1.00000E-2,          0.00000E+0,         3.34298E-10,        -4.83173E-13,         -1.00000E-2,          0.00000E+0,          8.35745E-5,         -1.20793E-7
         -5.00000E-3,          0.00000E+0,         3.46491E-10,        -8.52655E-13,         -5.00000E-3,          0.00000E+0,          8.66227E-5,         -2.13164E-7
          0.00000E+0,          0.00000E+0,         3.60417E-10,          0.00000E+0,         1.73472E-18,          0.00000E+0,          9.01042E-5,          0.00000E+0
          5.00000E-3,          0.00000E+0,         3.70308E-10,        -8.24233E-13,          5.00000E-3,          0.00000E+0,          9.25770E-5,         -2.06058E-7
          1.00000E-2,          0.00000E+0,         3.83553E-10,         1.42109E-13,          1.00000E-2,          0.00000E+0,          9.58883E-5,          3.55272E-8
